name,description,lon,lat
HP-Print-62-ENVY 120 series,BSSID: <b>28:92:4a:c5:be:62</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393094537000</b><br/>Date: <b>2014-02-22 13:42:17</b>,-82.39836672469421,34.85157200705482
Google Starbucks,BSSID: <b>9c:1c:12:0a:33:f0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097978000</b><br/>Date: <b>2014-02-22 14:39:38</b>,-82.40179723706586,34.84569568259096
Landmark_public,BSSID: <b>dc:9f:db:1c:61:d2</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096774000</b><br/>Date: <b>2014-02-22 14:19:34</b>,-82.39764654305091,34.85391989392907
HP-Print-fc-LaserJet 100,BSSID: <b>08:ed:b9:31:a3:fc</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393097537000</b><br/>Date: <b>2014-02-22 14:32:17</b>,-82.39972945096152,34.84949777786902
NETGEAR,BSSID: <b>c0:3f:0e:56:1c:be</b><br/>Capabilities: <b>[WPS][ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393097275999</b><br/>Date: <b>2014-02-22 14:27:55</b>,-82.39906530439838,34.85085875194808
veranda on main,BSSID: <b>04:4f:aa:2e:ae:f8</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393098660000</b><br/>Date: <b>2014-02-22 14:51:00</b>,-82.39994343500118,34.84829066724189
Westin Poinsett Greenville,BSSID: <b>a4:56:30:46:67:40</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393098671000</b><br/>Date: <b>2014-02-22 14:51:11</b>,-82.39988344144955,34.84847907933913
HYATT-GUEST,BSSID: <b>0c:68:03:dc:ef:50</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096353000</b><br/>Date: <b>2014-02-22 14:12:33</b>,-82.39753422365077,34.85220644163455
HYATT-GUEST,BSSID: <b>44:ad:d9:5f:5c:40</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096563999</b><br/>Date: <b>2014-02-22 14:16:03</b>,-82.39721157109707,34.85223994299068
HYATT-MEETING,BSSID: <b>0c:68:03:dd:7b:f2</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096506999</b><br/>Date: <b>2014-02-22 14:15:06</b>,-82.39641672269131,34.85202713913616
